行政區,人口資料年度,18-35歲估算人口_人,流感合約院所數_所,每萬名青年合約院所數_所,每所院所對應青年數_人,服務補強排序,衛生所一般疫苗門診,衛生所卡介苗門診,判讀說明,資料限制,人口API,流感院所API,衛生所API
淡水區,2024,41993,23,5.48,1826,11,"週一三五上午8:30~11:30
週一三五下午2:00~4:00",週四上午09:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
烏來區,2024,1483,1,6.74,1483,12,"週一至週五上午08:30-11:30
週一至週五下午01:30~04:30",週四上午09:30-11:30,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
林口區,2024,28056,19,6.77,1477,13,週一四五上午08:30~11:00,週四上午08:30~10:30,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
石碇區,2024,1385,1,7.22,1385,14,週四上午08:30~12:00,週四上午09:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
新店區,2024,62190,45,7.24,1382,15,週一至週五上午08:30-11:30,週四上午09:30~11:30,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
萬里區,2024,4125,3,7.27,1375,16,週二下午1:00~4:30,每月第二週週二下午2:00-4:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
中和區,2024,81727,61,7.46,1340,17,週一至週五上午08:30~11:30,週四上午09:30~11:30,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
泰山區,2024,17297,13,7.52,1331,18,週一三五上午08:30~11:30,週三上午08:30~10:30,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
三峽區,2024,26468,20,7.56,1323,19,週一三五上午08:30~11:30,週四上午09:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
雙溪區,2024,1264,1,7.91,1264,20,週四上午08:00~12:00,每月第二週週四上午09:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
坪林區,2024,1177,1,8.5,1177,21,"週一至週五上午8:00~12:00
週一二四五下午1:30~4:30",週二上午9:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
蘆洲區,2024,47016,42,8.93,1119,22,週一至週五上午08:30-11:30,週四上午09:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
新莊區,2024,93945,84,8.94,1118,23,"週一三四五上午08:30~11:30
週三下午1:30~4:00",週四上午08:30~11:30,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
土城區,2024,54723,52,9.5,1052,24,週一至週四上午08:30~11:30,週四上午09:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
三重區,2024,81388,78,9.58,1043,25,週一至週五上午8:30~11:30,週四上午08:30~10:30,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
板橋區,2024,111417,110,9.87,1013,26,週一至週五上午8:30~11:00,週四上午08:30~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
深坑區,2024,5481,6,10.95,914,27,週一三五上午08:30~11:30,週三上午09:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
永和區,2024,40038,49,12.24,817,28,"週一至週四上午08:30~11:30
週一下午1:30~4:30",週四上午09:30~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
平溪區,2024,561,1,17.83,561,29,週三上午08:30~12:00,每月第一週週三上午09:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
